,message
199,"👽👽 solve karunga tabhi na
"
200,"To kl jama krna h🙂
"
201,"yeah 11 59PM
"
202,"🙂
"
203,"koiii bhejoo aec ka assignment higaya ho toh🙂
"
204,"yes pls +1
"
205,"Kal koi class hai???
"
206,"Cancel karate h na🥺
"
207,"Hai kal?
"
208,"🥲
"
209,"Haa 2 class h🥲
"
210,"Konse konse?
"
211,"maths
"
212,"Maths and aec
"
213,"Aur
"
214,"AEC wale ko koi manao....maths wali to manegi nahi
"
215,"Mass bunk kre?🙂
"
216,"🙂
"
217,"Ji jaroor
"
218,"I'm ready baki log?🙂
"
219,"Ready×100
"
220,"🙂✨✨
"
221,"paper kaha milega?
"
222,"I might sound dusht 🙂but agar class hoyi toh attendance k liye hum join karenge🥲
"
223,"Meanie you are
"
224,"Mera bhi proxy laga dena🙂
"
225,"+1 im in
"
226,"🙂🙂✨✨
"
227,"bhai full attendance ka extra marks nhi hai kyun kar rhe ho
"
228,"Yaar attendance 80 me chali gyi hai humari🥲Or gola kiye toh 75 se bhi neeche chala jayega
"
229,"accha samjh gye majboori hai koi baat nhi then
"
230,"aec group dekho
"
231,"2 paper bheja hai. Dono solve karna hai kya?💀
"
232,"yeh only long answers
"
233,"This message was deleted
"
234,"Matlab 4 questions?
"
235,"10
"
236,"two papers combined
"
237,"I think I'll pass thanks
"
238,"Maine kuch nhi bola🙂
"
239,"Maine dekha tumne kya bola. And I approve
"
240,"😂😂
"
241,"@917978222634 ma'am ki fav ho tum...pls cancel karwayne bolo🙂
"
242,"Ye to hone se raha 🌝🥲
"
243,"🥲🥲
"
244,"Sauteli bemti show your magic🌝✨@917978222634
"
245,"Copy me 🌝🌝
"
246,"You too step som
"
247,"Son*
"
248,"So smart
"
249,"Sus but okay
"
250,"Mujhe bedakhal kar diya gya hai🙂
"
251,"Mamtaa tabhi hogi🙂
"
252,"This message was deleted
"
253,"<Media omitted>
"
254,"Medam odia hai bengali nhi ki mamta hongi🙂
"
255,"<Media omitted>
"
256,"🙂🙂🙂🙂 sabaash
"
257,"Politics joke🙂
"
258,"<Media omitted>
"
259,"Mere ko bhi bhej do assignment 🙂🙂
"
260,"Pata chla Hamlog bunk kr diye or sab join ho gye.....Or hamara attendance v jayega
"
261,"Kon sa assignment 🌝
"
262,"To humlog chutiye khe layenge🙂🙂
"
263,"Han bilkul 🥲
"
264,"Akshaya ~bheji~ bheja h🥲
"
265,"Kal submit Krna h na
"
266,"Tab kr lete b🥲🥲
"
267,"Haa bro🥲
"
268,"karliye tum?
"
269,"Ek din phle nhi dekhta h aapn...kal dekhega or kal krega 🥲🥲😅
"
270,"@918639102642 🥲🥲
"
271,"Bhej dena🙂
"
272,"😂😂 bhakk
"
273,"🙂
"
274,"Political🙂*
"
275,"Tum kisi din milo angreji subdharenge tora🙂
"
276,"🤝🏻🤝🏻
"
277,"RRR?🙂
"
278,"🙂apne ghar tk aane ka paisa or adress dono do
"
279,"Kya ...dekhe ya nhi ye puch rhe ho 🌝
"
280,"Paisa cash denge aur address dm🙂
"
281,"Aise hi bakchodi 🙃
"
282,"🙂🙂waha aake palti maar gye toh🙂
"
283,"😬😅
"
284,"Nhii marenge🙂🙂
"
285,"🙃🙃🙃
"
286,"Kya ptaa🙂
"
287,"Samchi🙂
"
288,"🙂🙂kya ptaa
"
289,"Nhii palti marenge🙂
"
290,"<Media omitted>
"
291,"<Media omitted>
"
292,"Ok
"
293,"🧐 maths nahi hai kal
"
294,"mam boli
"
295,"Tune kab puch liya
"
296,"long back
"
297,"😬😬 jo v ho...pr nhi hoga to aacha hi h na
"
298,"<Media omitted>
"
299,"Aab AEC ka kuch kro 🌝🌝
"
300,"👽 attendance deke chale jaoo
"
301,"start meh
"
302,"Sir bole h kya
"
303,"nahi lets ask
"
304,"Wo jab bola tha pichle baar...usme to wo 30 min rok ke rakha tha bass attendance lene ke baad... isbar to bola v nhi h
"
305,"😑😑
"
306,"yayyaa
"
307,"50-50% class not responding
"
308,"Tere ko personal message krti h?
"
309,"Ha ma'am ka step dad hai ye 🤡
"
310,"<Media omitted>
"
311,"Mam ka step dad🌚
"
312,"😂 abey bsdk mam se pucha
"
313,"Ab @919407993691  divyansh ko impress kernege because in future beti ka hatt mangne bhi to jana he
"
314,"Nhiii boli grp me nhi tere ko apne boli🙂
"
315,"Nhiii chaiye🙂
"
316,"😂 bsdk kaha se kaha baat kar raha hai
"
317,"Ma'am ka beta hai bas
Uska......... Mangne kaun Jaa raha 💀
"
318,"🤣🤣🤣🤣
"
319,"Kl kon konsa class h?
"
320,"Aec only
"
321,"Kitne baje h?🙂
"
322,"12 baje 🙂🙂
"
323,"Aur kuch nahi hai??💀
"
324,"Us samay uth jate h koi dikkat nhi🙂
"
325,"Wtf
"
326,"Bhai @916394650588 ko bolo phir se sir ko call karke class cancel karwayega🙂🙂
"
327,"AEC ka assignment me kirna kya he..!?
"
328,"Na
"
329,"Question paper solve. Karke send please thanks
"
330,"Madaltod @916394650588 sir ko call karo🙂
"
331,"+1🙂
"
332,"Konsa quechoin paper
"
333,"Bolo sir ko seduce bhi karega 😂😂
"
334,"Ab wo uska personal problem hai kaise convince karega 🌝
"
335,"@916394650588 ye krta h sir ko isliye badta h wtf🙂
"
336,"Group me jo 2 bheja hai
"
337,"Oooh ok ✨✨✨
"
338,"Pata nahi shayad sir convince hoke kal ka class chutti de denge😂😂
"
339,"BMS ka chutti kon bola.!?
"
340,"~akshaya mili?~ 🙂
"
341,"Bhai saare gajab cheezen anand ke saath hi hota hai😂😂
"
342,"Ya phir class ke time sir ko call karke busy rakhne bolna iykwim 🌝
"
343,"@916394650588 chiiiiiii🙂
"
344,"Aisa hoga toh class bhi attend karna padega attendance ke liye🥲🥲
"
345,"Maine nhi unhone call kiya tha🥲
"
346,"Chup bhadhve🙂
"
347,"But seduce to tum krte ho na🙂
"
348,"~akshaya mila. Chalega?~
"
349,"Tum bhadve🙂
"
350,"Haa but padhayega nahi na
"
351,"Nhi yeh sub nhi karta hai sareef ghar ka larka hu main🙂
"
352,"Shatap🙂
"
353,"~aise shauq nhi h tab koi aur dhundho~🙂🙂
"
354,"Kyuki unko tum pasand ho 🌝
"
355,"Bhai aaj jo blue color wala reference diye meet pe usse pura sharafat dikh gaya😂😂
"
356,"Mera naam mat dirty crow🥲
"
357,"🙂kya mtlb nhi kya mtlv
"
358,"Kitna dhayan se dekhta tab na yaad h🙂
"
359,"<Media omitted>
"
360,"Nhi🙂
"
361,"Haaa🙂
"
362,"~acha wait looking brb~
"
363,"Nhi🥲🥲
"
364,"🥲🥲🥲
"
365,"Haan bhai 😂😂
"
366,"Samajhdaar ke liye ishara hi kaafi hai 🌝
"
367,"~Brb~ ka full form?🥲
"
368,"Ab dhyaan chala gya kya bole 🥲
"
369,"Be right back
"
370,"🤣🤣🤣
"
371,"Isi pe to dhayan rhta h tumhara🙂
"
372,"🥲🥲🥲mai yeh sub nhi karta
"
373,"~Jaldi~ 🤧🥲
"
374,"Dosto ko ek din chutti dilwane ke liye kar lo kya problem hai 🌝
"
375,"Zyada🙂bologe toh tumhari chats viral kar dunga🙂
"
376,"Wahi toh 🙂🙂
"
377,"Dhamki kya dete ho?🙂🙂
"
378,"Tumhara iske saath bhi chats hai? Sir ko mat bolna unhe bura lagega 💀
"
379,"@919427446944 is gujju kylie Jenner ask him to do so🙂
"
380,"Haan🙂
"
381,"Main shareef hu wo madaltod h😊
"
382,"🙂aap galat disha me jaa rhi hai
"
383,"Darta nhi main🙃
"
384,"😂😂😂
"
385,"Ruk dikhata hu fir chats😊
"
386,"Sir tumhe call karte hai vraj kaha se beech me aa gaya 👀
"
387,"Mere pass bhi tumhare chats main bhi karunga viral😊
"
388,"Vo ek baar hua just🙂
"
389,"@919427446944 be like– mujhe kyu toda😂😂
"
390,"But out of 90 people he chose you. Kuch to pasand aaya hoga unhe 💀
"
391,"This message was deleted
"
392,"😂😂😂
"
393,"Arey bhai ye kya fetish hai 😂😂
"
394,"🙂🙂
"
395,"I saved it-
"
396,"That's bad🙂
"
397,"I can send it again 🙂
"
398,"🙂nhi aisa kuch nhi hai
"
399,"This message was deleted
"
400,"😂😂😂😂😂
"
401,"No need to do so🙂
"
402,"Bhai kya karte ho tum dono 🤣
"
403,"Main shaareef wo harami kya bole🙃
"
404,"Mai bahut seedha hu😊
"
405,"This message was deleted
"
406,"This message was deleted
"
407,"This message was deleted
"
408,"This message was deleted
"
409,"Kal class hai?
"
410,"This message was deleted
"
411,"Haa samajh aa raha hai
"
412,"Dhnyawad🙂🙂
"
413,"wo toh dikh raha hai😂
"
414,"Sus but okay 💀
"
415,"I am epik nice issokie
"
416,"<Media omitted>
"
417,"<Media omitted>
"
418,"<Media omitted>
"
419,"<Media omitted>
"
420,"<Media omitted>
"
421,"😶‍🌫️ mat aana wapas
"
422,"<Media omitted>
"
423,"<Media omitted>
"
424,"<Media omitted>
"
425,"<Media omitted>
"
426,"<Media omitted>
"
427,"<Media omitted>
"
428,"<Media omitted>
"
429,"<Media omitted>
"
430,"<Media omitted>
"
431,"<Media omitted>
"
432,"<Media omitted>
"
433,"<Media omitted>
"
434,"<Media omitted>
"
435,"<Media omitted>
"
436,"<Media omitted>
"
437,"<Media omitted>
"
438,"<Media omitted>
"
439,"<Media omitted>
"
440,"<Media omitted>
"
441,"<Media omitted>
"
442,"<Media omitted>
"
443,"<Media omitted>
"
444,"<Media omitted>
"
445,"<Media omitted>
"
446,"<Media omitted>
"
447,"<Media omitted>
"
448,"<Media omitted>
"
449,"<Media omitted>
"
450,"<Media omitted>
"
451,"<Media omitted>
"
452,"<Media omitted>
"
453,"<Media omitted>
"
454,"1
"
455,"2
"
456,"3
"
457,"<Media omitted>
"
458,"<Media omitted>
"
459,"Ohooo ohooo
"
460,"Ohhoooo
"
461,"Jinhe mera mar sutaya
"
462,"Lyrics bhi galat bol rha hai🙂
"
463,"<Media omitted>
"
464,"Jinne mainu maar sutiya
"
465,"Oh ho
"
466,"<Media omitted>
"
467,"<Media omitted>
"
468,"<Media omitted>
"
469,"Sorry modi jiii🥲
"
470,"Sorry nahi unhe vote de dena
"
471,"Agle election me
"
472,"Haaa voter id banwayenge🌚✨
"
473,"Itna darte ho bhai tum modi ji se 🙂🙂
"
474,"Darenge kyu bhai?🙂
"
475,"Baas aise hi puch diya waise darna toh sirf bhoot pret se chahiye🙂🙂
"
476,"Wahi na aur ab politics ka baat hata do🙂
"
477,"Thik hai bhai 🙂🙂
"
478,"Haaaa bhai🙂
"
479,"This message was deleted
"
480,"Dil loteya de de bhai🙂
"
481,"<Media omitted>
"
482,"<Media omitted>
"
483,"<Media omitted>
"
484,"<Media omitted>
"
485,"<Media omitted>
"
486,"<Media omitted>
"
487,"<Media omitted>
"
488,"<Media omitted>
"
489,"<Media omitted>
"
490,"Racist🤡
"
491,"Bhai mere badle gaali de dena next when I'm busy 🤧💯
"
492,"ok bhai de dunga gaali wait a second busy the tab bhai🌚🌚
"
493,"Gaali wala padho, baki sab ignore karo 🙃
"
494,"thik hai bhai🌚🌚
"
495,"Mai?💀
"
496,"Tum and anand dono 🙃
"
497,"Mai racist kaha hu🙂
"
498,"Maine kya kiya :(
"
499,"Kisika aec hua ?
"
500,"+1🥲
"
501,"aaj knsa knsa class he?
"
502,"Saara hai na ?!
"
503,"Physics cancelled hai forsure
"
504,"Aacha haan.
"
505,"Aur baki?
"
506,"Today you all prepare for mid sem exam. I am not taking your class
"
507,"Today you all prepare for mid sem exam. I am not taking your class
"
508,"Thank you @916394650588 🙂
"
509,"bc mene pucha tha
"
510,"😂😂
"
511,"Aec bhi cancel kara de 🙂
"
512,"👽 wo attendance mangega
"
513,"Bms wala inform karega, aec idk 🤧
"
514,"🌝✨❤
"
515,"Free ka tareef le liya🙂
"
516,"AEC ka class hai?
"
517,"Haaa shayad 🥲
"
518,"Join karna hai ya bunk?
"
519,"Mt kro mt kro🙂
"
520,"<Media omitted>
"
521,"Link pe toh sirf sir hai 😂
"
522,"Ruk jao 10-15 min phir dekhte hai
"
523,"Rehne do akele
"
524,"sir ke bulawa ka wait kar rahe ho?
"
525,"Khali sir bheta he
"
526,"Group m msg krenge tou bolenge ki preparing for midsem bye
"
527,"Bunk marte h I'm ready🙂
"
528,"Sir ko hi aaj rhne do koi join mat krna please
"
529,"😤😤😤😤
"
530,"Nahi group message bheja to check hi mat karna
"
531,"Suhan😤😤😤
"
532,"😂😂😂
"
533,"SUHAAAAAAAAAAAAAAAAN
"
534,"Galti se hogya
"
535,"@919749449603 🥲🥲🥲
"
536,"🙃
"
537,"@919749449603 🚩🚩
"
538,"Abhi time h leave krde
"
539,"Kardiye
"
540,"@919749449603 leave kardo🌝
"
541,"join kar ke sir ko request karte hai chutti ke liye.
"
542,"Aise hi rhne do sir ko akele🙂
"
543,"baad mein sir gussa ho jaayenge.
"
544,"Good boi
"
545,"Wo to aise bhi hote h rhne de
"
546,"Woh 30 min rok lenge fir
"
547,"She is not narmada mam jo tumhari baat maan le🌝
"
548,"😂😂😂😂😂😂
"
549,"Aaj mat join rhne de🤣🤣
"
550,"grp mein likh de phir
"
551,"?
"
552,"Ma'am jyada usse pyar krne lagi tou jaal rha tu?
"
553,"<Media omitted>
"
554,"Are join karke boldete hai🥲...mid sem se pehle sir se panga bhari na padjay🥲
"
555,"Mere ko jalan kyu hongi🙂
"
556,"yupp
"
557,"Point🙂
"
558,"Hnn ye kr skte
"
559,"Jaal to usi din se rha h jis din se mam @917978222634 ko boli thi doubt hoga to puchna🤣🤣
"
560,"Do we have AEC?
"
561,"Betaaa🌝
"
562,"warna sara gussa paper meh nikaldenge
"
563,"mein kya Odia mein likhi thi!??
"
564,"Ye baat shi bole tum🙂
"
565,"+233112333
"
566,"kuch nhi hoga tension mat le 
90 bacche hai kuch nhi kar paenge sir
"
567,"Ha wahi😶
"
568,"🙂🙂🙂🙂
"
569,"<Media omitted>
"
570,"Usne mid sem wali baat mention kardi tab dimag khula🥲
"
571,"Paper woh hi check karenge🥲
"
572,"<Media omitted>
"
573,"<Media omitted>
"
574,"Join kare?
"
575,"Attendance ke liye ao bas
"
576,"5 mins
"
577,"2 log join kar chuke hai🙂
"
578,"Attendance deke leave krna h
"
579,"sabke marks kata to 🔔 shape marking kaise karenge😂
"
580,"BMS CLASS CANCELLED🚩🚩
"
581,"Tu pucha tha ?
"
582,"HA
"
583,"Kisi ne bola attendance deke leave na🙂
"
584,"Ye fir quiz ka baat kyu uthaya
"
585,"SS bhejo
"
586,"Adha ghanta ka class🙂
"
587,"Doubt kaha se aaya🥺
"
588,"Pura ghanta 🤦
"
589,"Do attendance abbb!
"
590,"Bhai attendance hogaya??
"
591,"L lag gye🥲
"
592,"1 ghanta na hojaye 🙂
"
593,"50 bache hain join karna hai kya?
"
594,"kyu join kiya yr
"
595,"Chal rha h jaldi aao
"
596,"End puchte na 🥲
"
597,"wahi hoga ab 
itna accha mass bunk chal rha tha
"
598,"Harami teacher h🙂
"
599,"🥲 sir call karke boleee
"
600,"Have gone through quiz se respond to me karte karte 1 ghanta le jayega😊
"
601,"Wahi na🙂🙂
"
602,"Chat box mein roll likhna hai kya?
"
603,"Abhi ni
"
604,"Bolenge tb na
"
605,"Bosdike tumhare message k baad mai join kiya madaltod🙂
"
606,"Thanks
"
607,"Main join kiya to bola attendance deke leave🙂
"
608,"hogaya
"
609,"<Media omitted>
"
610,"@919407993691 bhut jldi h😂
"
611,"😂😂😂
"
612,"Bahut jyada yaar 🥲🥲
"
613,"🤣🤣🤣🤣
"
614,"Padhai crow padhai.
"
615,"Wo kya hoti h?🥲
"
616,"Bms h?
"
617,"@918639102642 bola cancel h
"
618,"Na
"
619,"Phy nhii hoga na 
Mail toh nhi aaya h !
"
620,"No
"
621,"@916394650588 attendance likhne ke kitne paise lete ho 🙂
"
622,"2₹ 🤣🤣
"
623,"Okay
"
624,"<Media omitted>
"
625,"<Media omitted>
"
626,"Sir bole the formality ke liye shayad link bhejenge but koi join mat karna 🙃
"
627,"Haann 🙂
"
628,"Kya hua. Class khatam?
"
629,"<Media omitted>
"
630,"Aaj kafi logo ka network issue tha 😅🤣
"
631,"Bahut ka hoga 50 kuch join the🤣🤣
"
632,"1 crore🙂
"
633,"aaj shayad sir ko chodkee baki sabkaa network problem thaa🙂🙂
"
634,"Aaj jio khrab hai kya?? Sabka network problem hai 🙂😂
"
635,"BSNL is lovely today 🙃
"
636,"😂
"
637,"Bms hoga aj?
"
638,"Aaj sabka bee quiz hay kya??
"
639,"Bola to nhj gya h shayad🥲
"
640,"Aaj BEE quiz hoga kya, bahut logo ka ho raha hai
"
641,"Ma'am se pucho?
"
642,"Bolo 150 assignment na deke quiz ka timing batane 💀
"
643,"Bms ka kya?
"
644,"Hoga?
"
645,"Accha bee assignment toh bohot karti hai tu
"
646,"☠️
"
647,"P🥸
"
648,"Haa I submitted milne ke 2 din me onli. Epik bee assignment I do
"
649,"I seee
"
650,"Koi aec bhej do please 🥺🥺
"
651,"+1
"
652,"+1🥺
"
653,"<Media omitted>
"
654,"Bahut sare🥺
"
655,"+1 👉👈
"
656,"+1🥵
"
657,"+1😎
"
658,"Sab +1 krega to bhejega kon?🥲
"
659,"Mai bhi variety of emoji me +1 karunga🙂
"
660,"+1🌝
"
661,"+1🐻‍❄️
"
662,"Bsdwala tum assignment lao +1 na kr🙂😨
"
663,"+1🙂
"
664,"🙂🙂
"
665,"🥲🥲mujhe bhi nhi mil rha kahi se
"
666,"Bhai ekdum sahi baat bola tumne🙂🙂🙂
"
667,"Dhundho ke lao b23 se🌚🌚
"
668,"Bhai hum shi baat hi bolte h kabhi galat baat bole h?🙂
"
669,"Ye acha joke tha 🙂🙂
"
670,"🥲🥲🥲
"
671,"Thanks standup comedian ban skta hu na?🙂🙂
"
672,"🌚🌚🌚
"
673,"Is BMS happening???
"
674,"~Ya phir b23×3 se~ Haan @916394650588 Lao 🙂🙂
"
675,"🙂🙂🙂
"
676,"Good morning 🙂
"
677,"Jarur bhai jab banoge tab free tickets doge na??🙂🙂
"
678,"Bolo bhai
"
679,"Nahi
"
680,"Okayy
"
681,"~maths ka kya barike se use kiye ho~🙂🙂
"
682,"~Shukriya bhai thoda tum bhi aisa kuch bol dete toh komedi ho jati~ 🙂🙂🙂
"
683,"Pakka se bhai🙂
"
684,"Ye konsa Naya activity hai bee ka 7 baje🥲🥲
"
685,"Koi likh do bc ki badi jaldi nhi bata di
"
686,"Dear students, today at 7 pm activity 3
"
687,"Ma'am ne bohot jaldi bata diyea
"
688,"#Claps
"
689,"#Claps
"
690,"Bms hora kya abhi?
"
691,"Bhai 20 question 20 minute🙂
"
692,"@917735952127 😂😂🤦
"
693,"@917735952127 😂😂😂😂😂
"
694,"Ehehehe🙂
"
695,"This message was deleted
"
696,"This message was deleted
"
697,"😁🤣🤣
"
698,"🤣🤣🤣
"
699,"Abe ma'am ko 6 30 boldo pls thoda kaam hai 7 baje🥺
"
700,"Agar koi problem na ho to mein puchunga
"
701,"Bhii Central h 🥲
"
702,"Abe yaar
"
703,"<Media omitted>
"
704,"<Media omitted>
"
705,"This message was deleted
"
706,"<Media omitted>
"
707,"Ye kisi ko aata h?
"
708,"Bhai kaise pta chala ki central hai
"
709,"Tum wo kiit cse ke group meh ho na
"
710,"Karwate hai na 6 30 sahi rhega yaar 😕
"
711,"Sab likh rahe hai waha
"
712,"Bhayy yaar
"
713,"<Media omitted>
"
714,"Kisi ko aata h?🥺
"
715,"🥲🔫
"
716,"AEC assignment me sara long type questions bana na hai ya hmlog bhi exam jaise 1 bana skte hai 5 me se ?
"
717,"<Media omitted>
"
718,"Likh ke bhej dena please 🥺🥺
"
719,"Sara 💀
"
720,"<Media omitted>
"
721,"everything
"
722,"Koi meet banalo yrr
"
723,"Bee k liye
"
724,"Wait sending
"
725,
726,"Avi 20 min Baki hai
"
727,"Bee quiz k sub join karna guys🌝✨❤
"
728,"✨😌
"
729,"Guys sub log aao toh please kiit ki ID se 🥲
"
730,"Baar baar admit karna padhta hai🥲
"
731,"Aapne kiit wale I'd se join kro sab
"
732,"Your security code with ~ Rai changed. Tap to learn more.
"
733,"Moodle pe hai kya??;
"
734,"no
"
735,"kiska ka AEC ka assignment hua toh bhejdo pls🙂🙏
"
736,"This message was deleted
"
737,"This message was deleted
"
738,"This message was deleted
"
739,"This message was deleted
"
740,"This message was deleted
"
741,"Ye sab kya hai @919407993691 bhai😑😑
"
742,"Galat chiz chala gya tha🌚
"
743,"Galti se kuch bhej diya tha🌚
"
744,"Kya?
"
745,"<Media omitted>
"
746,"🌚🌚🌚 samaj jao
"
747,"kaisi chiz bhai🌚🌚
"
